Current / A,V1  -sample/ uV,time/s
20.255132,-1.790498,31.142
20.285375,-1.752498,31.188
20.316014,-1.717496,31.234
20.347046,-1.683982,31.28
20.37805,-1.658783,31.325
20.408175,-1.635575,31.371
20.438617,-1.625379,31.417
20.468464,-1.627798,31.463
20.498961,-1.641869,31.508
20.529215,-1.676478,31.554
20.560164,-1.732151,31.6
20.591672,-1.804754,31.646
20.695877,-2.14934,31.692
20.725954,-2.222543,31.848
20.755827,-2.267798,31.894
20.86619,-2.290253,31.94
20.896432,-2.221621,32.105
20.92648,-2.174706,32.15
20.957414,-2.122302,32.196
20.98756,-2.066193,32.242
21.018958,-2.007873,32.288
21.049719,-1.938082,32.334
21.080996,-1.856293,32.379
21.110438,-1.768106,32.425
21.140678,-1.699237,32.471
21.171189,-1.670354,32.516
21.201417,-1.697534,32.562
21.232432,-1.811994,32.608
21.263417,-1.992435,32.654
21.293774,-2.189199,32.7
21.323703,-2.383089,32.745
21.599315,-3.220837,32.791
21.629647,-3.085238,33.204
21.660467,-2.993432,33.25
21.691397,-2.950901,33.296
21.722356,-2.890701,33.342
21.752423,-2.784005,33.388
21.782953,-2.636903,33.434
21.811929,-2.497069,33.479
21.84255,-2.40461,33.525
21.873654,-2.419473,33.571
21.904624,-2.474414,33.617
21.93526,-2.528744,33.663
21.966179,-2.58528,33.708
21.996384,-2.607486,33.754
22.026375,-2.569183,33.8
22.056173,-2.459557,33.846
22.160624,-1.698042,33.892
22.191569,-1.551822,34.047
22.222378,-1.447003,34.093
22.473767,-1.395901,34.138
22.504086,-0.910505,34.517
22.534547,-0.8498,34.563
22.565772,-0.823262,34.608
22.596852,-0.808137,34.654
22.627294,-0.787223,34.7
22.657486,-0.780676,34.746
22.687544,-0.787983,34.792
22.718005,-0.80012,34.838
22.747991,-0.823534,34.884
22.779011,-0.885493,34.929
22.893403,-1.248664,34.975
22.92395,-1.278953,35.146
22.954306,-1.28044,35.192
23.066584,-1.260821,35.238
23.096924,-1.137425,35.405
23.126997,-1.052436,35.45
23.157431,-0.957651,35.496
23.187308,-0.859905,35.542
23.217842,-0.771643,35.588
23.248536,-0.706371,35.634
23.279715,-0.678819,35.68
23.31066,-0.673313,35.726
23.341093,-0.673712,35.772
23.371173,-0.682236,35.817
23.401523,-0.704303,35.863
23.432149,-0.731829,35.909
23.462228,-0.761474,35.955
23.493755,-0.769593,36.001
23.524697,-0.751196,36.047
23.628932,-0.555196,36.092
23.659161,-0.503261,36.248
23.689082,-0.452803,36.294
23.799407,-0.385266,36.34
23.829401,-0.425104,36.504
23.859682,-0.375941,36.55
23.889519,-0.300206,36.596
23.920429,-0.249277,36.642
23.95142,-0.291904,36.687
23.982504,-0.396735,36.733
24.012938,-0.477125,36.779
24.042892,-0.501246,36.824
24.07295,-0.463794,36.87
24.103541,-0.409814,36.916
24.134212,-0.381984,36.962
24.16441,-0.390975,37.007
24.195447,-0.396654,37.053
24.226146,-0.45442,37.099
24.256192,-0.543113,37.145
24.359623,-0.996549,37.191
24.390128,-1.047681,37.347
24.421446,-1.045833,37.392
24.532201,-1.023429,37.438
24.562144,-0.550815,37.605
24.593383,-0.43029,37.65
24.623521,-0.320386,37.696
24.654656,-0.146647,37.742
24.684958,0.016452,37.788
24.715509,0.186406,37.833
24.745461,0.318003,37.88
24.776113,0.385173,37.925
24.80662,0.471524,37.971
24.837498,0.554103,38.017
24.868374,0.639125,38.063
24.89929,0.694651,38.108
24.929495,0.668828,38.154
24.959734,0.555454,38.2
24.990064,0.392069,38.246
25.264801,-0.066847,38.292
25.296536,-0.138153,38.705
25.327472,-0.198124,38.751
25.358438,-0.245496,38.796
25.388134,-0.28344,38.842
25.418378,-0.231374,38.888
25.448567,-0.076342,38.934
25.479331,0.044726,38.979
25.510232,0.083287,39.025
25.5412,0.197778,39.071
25.571346,0.323444,39.117
25.602328,0.388647,39.163
25.632541,0.327184,39.209
25.662334,0.196652,39.254
25.692962,0.044746,39.3
25.723784,-0.108906,39.346
25.828859,-0.743577,39.392
25.859255,-0.934113,39.548
25.889609,-1.106355,39.594
26.139938,-1.252309,39.64
26.170994,-0.955754,40.017
26.2023,-0.869104,40.063
26.233516,-0.803763,40.109
26.263612,-0.789208,40.155
26.293662,-0.81995,40.2
26.323612,-0.911893,40.246
26.353993,-1.040615,40.292
26.384709,-1.187441,40.338
26.415843,-1.2836,40.383
26.4462,-1.302516,40.429
26.559108,-1.118836,40.475
26.590265,-1.096533,40.646
26.619921,-1.081579,40.692
26.73258,-1.025196,40.738
26.763218,-0.308982,40.905
26.79302,-0.088126,40.951
26.823552,0.128011,40.997
26.854038,0.305531,41.042
26.885513,0.420177,41.088
26.915861,0.431728,41.134
26.945865,0.354898,41.179
26.976239,0.236262,41.225
27.006787,0.14251,41.271
27.037075,0.093165,41.317
27.067363,0.06786,41.363
27.09812,0.036304,41.409
27.129207,-0.017284,41.454
27.159832,-0.110823,41.5
27.190326,-0.231914,41.546
27.293975,-0.551466,41.592
27.32405,-0.570301,41.747
27.355161,-0.559249,41.793
27.465153,-0.521683,41.839
27.495737,-0.230492,42.005
27.526192,-0.110163,42.05
27.55669,-0.022975,42.096
27.587958,0.058626,42.142
27.618402,0.108048,42.188
27.648792,0.095513,42.234
27.67839,0.022161,42.28
27.70908,-0.067461,42.326
27.739794,-0.036094,42.371
27.770962,-0.015697,42.417
27.801032,-0.014351,42.463
27.832182,-0.027561,42.509
27.862305,-0.027021,42.554
27.891502,0.022994,42.6
27.922259,0.118586,42.646
28.026412,0.226204,42.692
28.057634,0.231811,42.847
28.089699,0.240032,42.893
28.199125,0.252218,42.94
28.230412,0.0818,43.105
28.261067,0.055679,43.15
28.291359,0.038804,43.197
28.321515,0.028043,43.242
28.351837,0.011735,43.288
28.381551,-0.033846,43.334
28.412101,-0.114502,43.38
28.442955,-0.22452,43.425
28.474104,-0.318789,43.471
28.504556,-0.406391,43.517
28.534531,-0.493928,43.563
28.564871,-0.567743,43.609
28.595647,-0.623377,43.654
28.625818,-0.638028,43.7
28.656751,-0.625113,43.746
28.933123,-0.445444,43.792
28.963066,-0.183143,44.205
28.993608,-0.110061,44.251
29.023661,-0.041304,44.297
29.054712,0.023478,44.342
29.085022,0.163229,44.389
29.115571,0.307173,44.434
29.146553,0.39155,44.48
29.177204,0.442046,44.526
29.207413,0.510079,44.572
29.237623,0.699596,44.617
29.268314,0.873666,44.663
29.29891,0.936248,44.709
29.329436,0.920366,44.755
29.360562,0.967283,44.801
29.391953,1.061066,44.847
29.494821,1.033705,44.893
29.524851,0.942168,45.048
29.554775,0.838114,45.094
29.807701,0.703447,45.14
29.838046,0.589055,45.517
29.868678,0.629494,45.563
29.898006,0.666768,45.608
29.928204,0.683628,45.654
29.95937,0.701958,45.7
29.989941,0.770985,45.745
30.020924,0.831375,45.791
30.051435,0.898084,45.837
30.081541,1.01349,45.883
30.111777,1.112159,45.929
30.225923,0.883822,45.974
30.256207,0.739652,46.146
30.287892,0.644732,46.192
30.398251,0.59686,46.238
30.42871,0.747944,46.405
30.459396,0.826139,46.451
30.490255,0.915679,46.497
30.521079,1.004208,46.542
30.552026,1.084728,46.588
30.581784,1.173686,46.634
30.611331,1.28616,46.68
30.64217,1.392175,46.725
30.672635,1.461793,46.771
30.704104,1.49831,46.817
30.734421,1.52562,46.862
30.764996,1.547728,46.908
30.794871,1.56925,46.954
30.825117,1.588606,46.999
30.855219,1.612318,47.045
30.960521,1.831744,47.091
30.991735,1.871398,47.248
31.022207,1.874835,47.293
31.131748,1.851687,47.339
31.162173,1.843845,47.505
31.19278,1.856586,47.551
31.223621,1.946921,47.597
31.253754,2.09643,47.643
31.284069,2.24632,47.688
31.31501,2.294738,47.734
31.345562,2.289347,47.78
31.376334,2.316067,47.826
31.407396,2.383998,47.872
31.438307,2.552541,47.917
31.467961,2.720241,47.963
31.497911,2.837227,48.009
31.527992,2.922183,48.055
31.55829,2.957756,48.1
31.589688,2.908727,48.146
31.694137,2.68427,48.192
31.724291,2.620535,48.347
31.75456,2.514539,48.393
31.865833,2.418845,48.439
31.896506,2.44345,48.605
31.926949,2.485468,48.651
31.957055,2.500296,48.697
31.987656,2.517377,48.743
32.017315,2.552541,48.789
32.048525,2.629335,48.835
32.07927,2.692783,48.88
32.109948,2.720959,48.926
32.139622,2.74682,48.971
32.169678,2.780874,49.017
32.200119,2.825386,49.063
32.230411,2.884722,49.109
32.261483,2.951763,49.154
32.292724,3.016608,49.2
32.323466,3.086891,49.246
32.598841,3.749746,49.292
32.628991,3.978019,49.705
32.659394,4.121871,49.751
32.690124,4.253007,49.797
32.720585,4.380991,49.843
32.752203,4.473967,49.889
32.782637,4.474411,49.935
32.813159,4.427284,49.98
32.843659,4.377458,50.027
32.8745,4.325215,50.072
32.904523,4.241885,50.118
32.935111,4.174933,50.163
32.966294,4.250457,50.209
32.996921,4.367359,50.255
33.027574,4.508971,50.301
33.057121,4.692314,50.346
33.161335,5.379995,50.392
33.191523,5.494448,50.549
33.222326,5.582428,50.595
33.47414,5.579298,50.64
33.504363,5.195042,51.017
33.533902,5.264614,51.063
33.564709,5.340547,51.109
33.595262,5.385446,51.155
33.626438,5.400583,51.201
33.656991,5.380864,51.247
33.687694,5.345739,51.292
33.717179,5.30268,51.338
33.747279,5.245252,51.384
33.777667,5.157314,51.43
33.893883,4.880519,51.476
33.924898,4.926544,51.647
33.954813,5.037439,51.692
34.064967,5.197835,51.738
34.096254,5.988259,51.905
34.126854,6.054634,51.951
34.157641,6.086946,51.997
34.187995,6.15176,52.043
34.217637,6.246282,52.089
34.247634,6.371434,52.134
34.278306,6.485831,52.18
34.309797,6.595592,52.226
34.340703,6.66211,52.271
34.370638,6.711908,52.317
34.401111,6.76444,52.363
34.431533,6.835255,52.409
34.461802,6.946069,52.455
34.492041,7.018449,52.501
34.523151,7.021085,52.546
34.626555,7.167377,52.592
34.657127,7.3214,52.748
34.6875,7.498386,52.794
34.798764,7.647528,52.839
34.829121,8.13557,53.005
34.859575,8.365616,53.051
34.889859,8.666589,53.097
34.920328,8.995124,53.143
34.950762,9.273998,53.189
34.981922,9.502101,53.235
35.012645,9.645183,53.28
35.043232,9.80503,53.326
35.073851,9.939665,53.371
35.104224,10.00082,53.418
35.134454,10.000698,53.463
35.164911,9.952732,53.509
35.195699,9.906758,53.555
35.227002,9.893413,53.601
35.257547,9.940626,53.647
35.360221,10.451486,53.692
35.390744,10.640774,53.848
35.420698,10.839533,53.894
35.531428,11.045989,53.94
35.562004,11.648341,54.105
35.592811,11.774086,54.151
35.623326,11.87713,54.197
35.654298,11.987113,54.243
35.685646,12.141725,54.289
35.71658,12.318549,54.334
35.74653,12.480239,54.38
35.776545,12.585099,54.426
35.806695,12.620806,54.472
35.837014,12.627809,54.518
35.867848,12.62927,54.563
35.898897,12.645319,54.609
35.930053,12.665583,54.655
35.960353,12.691689,54.701
35.990391,12.72281,54.747
36.264775,13.982794,54.793
36.295255,14.473337,55.205
36.326493,14.720266,55.251
36.356804,14.9205,55.297
36.38773,15.085868,55.343
36.417772,15.380722,55.388
36.448563,15.773915,55.434
36.478402,16.071829,55.48
36.509124,16.243149,55.526
36.539935,16.443207,55.571
36.570638,16.749197,55.617
36.60143,17.15014,55.663
36.631779,17.559445,55.709
36.661714,17.885815,55.754
36.691714,18.104484,55.8
36.722206,18.22141,55.846
36.826712,18.397745,55.891
36.857673,18.493001,56.047
36.887696,18.621753,56.093
37.139302,18.783443,56.138
37.169852,20.094882,56.518
37.200463,20.273436,56.564
37.231846,20.455376,56.609
37.262476,20.616199,56.655
37.292902,20.804403,56.701
37.323275,21.025615,56.747
37.353471,21.239654,56.793
37.383836,21.410899,56.839
37.414497,21.544182,56.884
37.445707,21.644634,56.93
37.559261,22.073565,56.976
37.589438,22.205736,57.147
37.61953,22.335081,57.192
37.732311,22.501191,57.239
37.762411,23.279477,57.405
37.79245,23.478307,57.451
37.822446,23.613725,57.497
37.853045,23.722578,57.543
37.883526,23.871469,57.589
37.914402,24.104444,57.635
37.945596,24.434469,57.68
37.976495,24.740213,57.726
38.006499,25.005613,57.772
38.036642,25.23161,57.818
38.066949,25.410285,57.864
38.097352,25.566798,57.909
38.128236,25.714042,57.955
38.159327,25.889193,58.001
38.190065,26.103665,58.046
38.292597,26.945055,58.092
38.323715,27.173163,58.248
38.353534,27.393966,58.293
38.465432,27.571977,58.339
38.495271,28.454559,58.505
38.526062,28.745242,58.551
38.556412,28.991137,58.597
38.587288,29.273434,58.643
38.618433,29.581151,58.689
38.649355,29.875923,58.735
38.679405,30.07811,58.78
38.708936,30.273262,58.826
38.739317,30.511947,58.872
38.769624,30.809205,58.918
38.800788,31.104621,58.963
38.831802,31.364028,59.009
38.862144,31.625358,59.055
38.892921,31.89511,59.101
38.923074,32.153407,59.147
39.026567,33.612626,59.193
39.057035,34.039633,59.348
39.088272,34.328333,59.394
39.196874,34.609342,59.44
39.228073,35.611152,59.605
39.25896,35.89467,59.651
39.289564,36.205594,59.697
